Big,Jet,345,Metro,,,,,,,,,,,,,,,,,
Big,Jet,345,contact,Metro,Tower,119.2,,,,,,,,,,,,,,
Big,Jet,345,Metro,Ground,taxi,to,holding,point,A1,runway,18,,,,,,,,,
Big,Jet,345,cross,runway,18,at,A1,taxi,to,holding,point,C,runway,27,,,,,,
Big,Jet,345,Metro,Delivery,Cleared,to,Smallville,T1A,departure,Squawk,3456,slot,time,1905,,,,,,
Big,Jet,345,start,up,approved,contact,Metro,Ground,118.75,for,taxi,instructions,,,,,,,,
Big,Jet,345,Metro,Ground,after,the,red,and,white,Antonov,with,the,purple,fin,taxi,to,holding,point,runway,8
Big,Jet,345,after,landing,Airbus,321,cross,Runway,9,at,C2,after,,,,,,,,
Big,Jet,345,taxi,to,holding,point,C1,runway,27,,,,,,,,,,,
Big,Jet,345,contact,Metro,Tower,123.625,,,,,,,,,,,,,,
Big,Jet,345,Metro,Tower,line,up,runway,27,,,,,,,,,,,,
Big,Jet,345,runway,27,cleared,for,take-off,,,,,,,,,,,,,
Big,Jet,345,contact,Metro,Radar,124.6,,,,,,,,,,,,,,
Big,Jet,345,Metro,Tower,hold,at,C1,,,,,,,,,,,,,
Big,Jet,345,hold,position,amendment,to,clearance,T3F,departure,climb,to,6000,feet,,,,,,,
Big,Jet,345,hold,position,after,departure,climb,to,altitude,6000,feet,,,,,,,,,
Big,Jet,345,Metro,Tower,hold,at,C1,,,,,,,,,,,,,
Big,Jet,345,behind,landing,Boeing,757,line,up,runway,27,behind,,,,,,,,,
Big,Jet,345,hold,position,Cancel,take-off,I,say,again,cancel,take-off,due,to,vehicle,on,the,runway,,,
Big,Jet,345,stop,immediately,Big,Jet,345,stop,immediately,,,,,,,,,,,
Big,Jet,345,runway,27,cleared,for,take-off,,,,,,,,,,,,,
Big,Jet,345,contact,Metro,Radar,124.6,,,,,,,,,,,,,,
Big,Jet,345,Metro,Radar,radar,contact,,,,,,,,,,,,,,
Big,Jet,345,fly,heading,260,(degrees),climb,to,FL,100,no,speed,restrictions,,,,,,,
Big,Jet,345,fly,direct,BONNY,climb,to,FL,360,,,,,,,,,,,
Big,Jet,345,contact,Northern,Control,132.6,,,,,,,,,,,,,,
Big,Jet,345,Northern,Control,fly,direct,CLYDE,,,,,,,,,,,,,
Big,Jet,345,turn,left,immediately,heading,270,degrees,to,avoid,traffic,at,2,o’clock,5,miles,crossing,right,to,
Big,Jet,345,turn,right,immediately,heading,30,degrees,to,avoid,traffic,at,2,o’clock,5,miles,crossing,right,to,
Big,Jet,345,descend,immediately,to,FL,160,traffic,at,12,o’clock,3,miles,opposite,direction,same,level,,,
Big,Jet,345,climb,,immediately,to,FL,160,traffic,at,12,o’clock,3,miles,opposite,direction,same,level,,
